period,base_birth_year_in_period,bucket_start,bucket_end,bucket_label,birth_year,title_id,name_ko,name_zh,birth_known
early,627,627,636,627~636,627,C336,낙빈왕,駱賓王,Y
early,627,637,646,637~646,645,C343,두심언,杜審言,Y
early,627,647,656,647~656,649,C358,왕발,王勃,Y
early,627,647,656,647~656,656,C397,심전기,沈佺期,Y
early,627,657,666,657~666,659,C398,하지장,賀知章,Y
early,627,657,666,657~666,661,C393,진자앙,陳子昻,Y
early,627,687,696,687~696,688,C360,왕지환,王之渙,Y
early,627,,,출생연도 미상,,C354,송지문,宋之問,N
high,678,678,687,678~687,678,C382,장구령,張九齡,Y
high,678,678,687,678~687,685,C338,당 현종,唐 玄宗,Y
high,678,688,697,688~697,689,C347,맹호연,孟浩然,Y
high,678,688,697,688~697,689,C361,왕창령,王昌齡,Y
high,678,688,697,688~697,690,C373,이기,李頎,Y
high,678,688,697,688~697,692,C334,기무잠,綦毋潛,Y
high,678,688,697,688~697,693,C357,왕만,王灣,Y
high,678,688,697,688~697,694,C332,구위,邱爲,Y
high,678,698,707,698~707,699,C389,조영,祖詠,Y
high,678,698,707,698~707,700,C329,고적,高適,Y
high,678,698,707,698~707,701,C359,왕유,王維,Y
high,678,698,707,698~707,701,C375,이백,李白,Y
high,678,698,707,698~707,704,C395,최서,崔曙,Y
high,678,698,707,698~707,704,C396,최호,崔顥,Y
high,678,708,717,708~717,708,C351,상건,常建,Y
high,678,708,717,708~717,712,C341,두보,杜甫,Y
high,678,708,717,708~717,715,C379,잠삼,岑參,Y
high,678,708,717,708~717,717,C403,황보염,皇甫冉,Y
high,678,718,727,718~727,723,C363,원결,元結,Y
high,678,758,767,758~767,758,C333,권덕여,權德輿,Y
high,678,,,출생연도 미상,,C335,김창서,金昌緖,N
high,678,,,출생연도 미상,,C348,배적,裴迪,N
high,678,,,출생연도 미상,,C352,서비인,西鄙人,N
high,678,,,출생연도 미상,,C362,왕한,王翰,N
high,678,,,출생연도 미상,,C367,류방평,劉方平,N
high,678,,,출생연도 미상,,C368,유신허,劉眘虛,N
high,678,,,출생연도 미상,,C383,장욱,張旭,N
mid,709,709,718,709~718,709,C370,유장경,劉長卿,Y
mid,709,719,728,719~728,722,C387,전기,錢起,Y
mid,709,719,728,719~728,727,C330,고황,顧況,Y
mid,709,729,738,729~738,732,C339,대숙륜,戴叔倫,Y
mid,709,729,738,729~738,737,C365,위응물,韋應物,Y
mid,709,739,748,739~748,748,C337,노륜,盧綸,Y
mid,709,749,758,749~758,749,C378,이익,李益,Y
mid,709,749,758,749~758,751,C346,맹교,孟郊,Y
mid,709,759,768,759~768,768,C384,장적,張籍,Y
mid,709,759,768,759~768,768,C401,한유,韓愈,Y
mid,709,769,778,769~778,772,C349,백거이,白居易,Y
mid,709,769,778,769~778,772,C369,유우석,劉禹錫,Y
mid,709,769,778,769~778,773,C371,유종원,柳宗元,Y
mid,709,779,788,779~788,779,C328,가도,賈島,Y
mid,709,779,788,779~788,779,C364,원진,元稹,Y
mid,709,799,808,799~808,803,C340,두목,杜牧,Y
mid,709,819,828,819~828,823,C388,정전,鄭畋,Y
mid,709,,,출생연도 미상,,C331,,皎然,N
mid,709,,,출생연도 미상,,C344,두추낭,杜秋娘,N
mid,709,,,출생연도 미상,,C350,사공서,司空曙,N
mid,709,,,출생연도 미상,,C356,왕건,王建,N
mid,709,,,출생연도 미상,,C372,류중용,柳中庸,N
mid,709,,,출생연도 미상,,C374,이단,李端,N
mid,709,,,출생연도 미상,,C380,장계,張繼,N
mid,709,,,출생연도 미상,,C386,장호,張祜,N
mid,709,,,출생연도 미상,,C390,주경여,朱慶餘,N
mid,709,,,출생연도 미상,,C399,한굉,韓翃,N
late,813,813,822,813~822,813,C377,이상은,李商隱,Y
late,813,833,842,833~842,836,C366,위장,韋莊,Y
late,813,833,842,833~842,842,C400,한악,韓偓,Y
late,813,843,852,843~852,846,C342,두순학,杜荀鶴,Y
late,813,,,출생연도 미상,,C345,마대,馬戴,N
late,813,,,출생연도 미상,,C353,설봉,薛逢,N
late,813,,,출생연도 미상,,C355,온정균,溫庭筠,N
late,813,,,출생연도 미상,,C376,이빈,李頻,N
late,813,,,출생연도 미상,,C381,장교,張喬,N
late,813,,,출생연도 미상,,C385,장필,張泌,N
late,813,,,출생연도 미상,,C391,진도,陳陶,N
late,813,,,출생연도 미상,,C392,진도옥,秦韜玉,N
late,813,,,출생연도 미상,,C394,최도,崔塗,N
late,813,,,출생연도 미상,,C402,허혼,許渾,N
