poemNoStr,titleKo,poetKo,status,hasOwned,priority
001,"〈感遇〉 네 수 중 첫 번째 시","장구령",done,1,keep
002,"〈感遇〉 네 수 중 두 번째 시","장구령",done,1,keep
003,"〈感遇〉 네 수중 세 번째 시","장구령",done,1,keep
004,"〈感遇〉 네 수 중 네 번째 시","장구령",done,1,keep
005,"〈종남산에서 내려와 곡사산인의 집에 들렀다가 묵으며 술을 마시다〉","이백",done,1,keep
006,"〈달 아래 홀로 술을 마시며〉","이백",done,1,keep
007,"〈봄 그리움〉","이백",done,1,keep
008,"〈태산을 바라보며〉","두보",done,1,keep
009,"〈위팔처사에게 주다〉","두보",done,1,keep
010,"〈미인〉","두보",done,1,keep
011,"〈꿈에서 이백을 보고〉 두 수 중 첫 번째 시","두보",done,1,keep
012,"〈꿈에서 이백을 보고〉 두 수 중 두 번째 시","두보",done,1,keep
013,"〈송별〉","왕유",done,1,keep
014,"〈과거에 낙방하여 고향으로 돌아가는 기무잠을 전송하며〉","왕유",done,1,keep
015,"〈청계〉","왕유",done,1,keep
016,"〈위천의 농가〉","왕유",done,1,keep
017,"〈서시를 노래하다〉","왕유",done,1,keep
018,"〈가을날 난산에 올라 장오에게 부치다〉","맹호연",done,1,keep
019,"〈여름날 남정에서 신대를 그리워하다〉","맹호연",done,1,keep
020,"〈업사산방에 묵으며 정대를 기다렸으나 오지 않다〉","맹호연",done,1,keep
021,"〈종제와 함께 남재에서 달을 감상하며 산음의 최소부를 생각하다〉","왕창령",done,1,keep
022,"〈서산의 은자를 찾아가나 만나지 못하다〉","구위",done,1,keep
023,"〈봄날 약야계에 배를 띄우다〉","기무잠",pending,0,batch
024,"〈왕창령이 은거하던 곳에 머물다〉","상건",pending,0,batch
025,"〈고적, 설거와 함께 자은사 부도에 오르다〉","잠삼",pending,0,batch
026,"〈적이 물러간 뒤 관리에게 보인다〉병서","원결",pending,0,batch
027,"〈군의 관사에서 비가 오는 가운데 여러 문사들과 연회를 열며〉","위응물",pending,0,batch
028,"〈양자진을 떠나면서 교서랑 원대에게 부치다〉","위응물",pending,0,batch
029,"〈전초산의 도사에게 부치다〉","위응물",pending,0,batch
030,"〈장안에서 풍저를 만나다〉","위응물",pending,0,batch
031,"〈저녁에 우이현에서 묵다〉","위응물",pending,0,batch
032,"〈동교에서〉","위응물",pending,0,batch
033,"〈양씨녀를 보내며〉","위응물",pending,0,batch
034,"〈새벽 초사원에 이르러 선경을 읽으며〉","유종원",pending,0,batch
035,"〈시냇가에 살다〉","유종원",pending,0,batch
036,"〈변방의 노래〉","왕창령",pending,0,batch
037,"〈변방의 노래〉두 번째 시","왕창령",pending,0,batch
038,"〈관산월〉","이백",pending,0,batch
039,"〈자야사시가 봄노래〉","이백",pending,0,batch
040,"〈자야사시가 여름노래〉","이백",pending,0,batch
041,"〈자야사시가 가을노래〉","이백",pending,0,batch
042,"〈자야사시가 겨울 노래〉","이백",pending,0,batch
043,"〈장간행〉","이백",pending,0,batch
044,"〈열녀의 노래〉","맹교",pending,0,batch
045,"〈나그네 노래〉","맹교",done,1,keep
046,"〈유주대에 올라 부른 노래〉","진자앙",pending,0,batch
047,"〈고의〉","이기",pending,0,batch
048,"〈진장보를 전송하며〉","이기",pending,0,batch
049,"〈거문고 노래〉","이기",pending,0,batch
050,"〈동대가 호가롱을 타는 것을 듣고 겸하여 방급사에게 말을 전하다〉","이기",pending,0,batch
051,"〈안만선이 부르는 필률가를 듣고〉","이기",pending,0,batch
