poemId	authorKo	titleKo	asset	exists	sourcePolicyId	sourceUrl	copyrightStatus	usageClass	publicDisplayAllowedNow	commercialAllowedNow	requiresPermissionForCommercial	mustReplaceBeforeCommercial	replacementPriority	attributionRequired	recordCommercialReady	blockingAssets	replacementRequired
KHS-CHOE-W1-0001	최치원	寓興	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0001	최치원	寓興	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0001	최치원	寓興	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0001	최치원	寓興	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0001	최치원	寓興	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0001	최치원	寓興	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0002	최치원	蜀葵花	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0002	최치원	蜀葵花	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0002	최치원	蜀葵花	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0002	최치원	蜀葵花	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0002	최치원	蜀葵花	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0002	최치원	蜀葵花	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0003	최치원	江南女	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0003	최치원	江南女	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0003	최치원	江南女	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0003	최치원	江南女	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0003	최치원	江南女	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
