poemId	authorKo	titleKo	assetSlot	sourcePolicyId	url	collectionTitle	entryTitle
KHS-CHOE-W1-0001	최치원	寓興	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	寓興
KHS-CHOE-W1-0001	최치원	寓興	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0002	최치원	蜀葵花	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	蜀葵花
KHS-CHOE-W1-0002	최치원	蜀葵花	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0003	최치원	江南女	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	江南女
KHS-CHOE-W1-0003	최치원	江南女	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0004	최치원	古意	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	古意
KHS-CHOE-W1-0004	최치원	古意	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0005	최치원	秋夜雨中	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	秋夜雨中
KHS-CHOE-W1-0005	최치원	秋夜雨中	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0006	최치원	郵亭夜雨	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	郵亭夜雨
KHS-CHOE-W1-0006	최치원	郵亭夜雨	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0007	최치원	途中作	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	途中作
KHS-CHOE-W1-0007	최치원	途中作	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	饒州鄱陽亭
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	山陽 與鄕友話別
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0010	최치원	題芋江驛亭	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	題芋江驛亭
KHS-CHOE-W1-0010	최치원	題芋江驛亭	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	春日 邀知友不至
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0012	최치원	留別西京金少尹	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	留別西京金少尹
KHS-CHOE-W1-0012	최치원	留別西京金少尹	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0013	최치원	贈金川寺主	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	贈金川寺主
KHS-CHOE-W1-0013	최치원	贈金川寺主	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	贈梓谷蘭若獨居僧
KHS-CHOE-W1-0014	최치원	贈梓谷蘭若獨居僧	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	黃山江臨鏡臺
KHS-CHOE-W1-0015	최치원	黃山江臨鏡臺	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	題伽倻山讀書堂
KHS-CHOE-W1-0016	최치원	題伽倻山讀書堂	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	長安旅舍 與于愼微長官接隣
KHS-CHOE-W1-0017	최치원	長安旅舍 與于愼微長官接隣	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0018	최치원	贈雲門蘭若智光上人	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	贈雲門蘭若智光上人
KHS-CHOE-W1-0018	최치원	贈雲門蘭若智光上人	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0019	최치원	題雲峰寺	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	題雲峰寺
KHS-CHOE-W1-0019	최치원	題雲峰寺	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0020	최치원	旅遊唐城 贈先王樂官	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	旅遊唐城 贈先王樂官
KHS-CHOE-W1-0020	최치원	旅遊唐城 贈先王樂官	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0021	최치원	登潤州慈和寺上房	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	登潤州慈和寺上房
KHS-CHOE-W1-0021	최치원	登潤州慈和寺上房	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0022	최치원	秋日 再經盱眙縣 寄李長官	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	秋日 再經盱眙縣 寄李長官
KHS-CHOE-W1-0022	최치원	秋日 再經盱眙縣 寄李長官	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0023	최치원	送吳進士歸江南	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	送吳進士歸江南
KHS-CHOE-W1-0023	최치원	送吳進士歸江南	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0024	최치원	春曉偶書	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	春曉偶書
KHS-CHOE-W1-0024	최치원	春曉偶書	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0025	최치원	暮春卽事 和顧雲友使	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	暮春卽事 和顧雲友使
KHS-CHOE-W1-0025	최치원	暮春卽事 和顧雲友使	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0026	최치원	和張進士村居病中見寄	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	和張進士村居病中見寄
KHS-CHOE-W1-0026	최치원	和張進士村居病中見寄	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0027	최치원	泛海	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	泛海
KHS-CHOE-W1-0027	최치원	泛海	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0028	최치원	題輿地圖	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	題輿地圖
KHS-CHOE-W1-0028	최치원	題輿地圖	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0029	최치원	姑蘇臺	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	姑蘇臺
KHS-CHOE-W1-0029	최치원	姑蘇臺	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0030	최치원	碧松亭	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	碧松亭
KHS-CHOE-W1-0030	최치원	碧松亭	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0031	최치원	贈希朗和尙	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	贈希朗和尙
KHS-CHOE-W1-0031	최치원	贈希朗和尙	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
KHS-CHOE-W1-0032	최치원	寄顥源上人	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	孤雲集 卷一	寄顥源上人
KHS-CHOE-W1-0032	최치원	寄顥源上人	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80		
