poemId	authorKo	titleKo	assetSlot	sourcePolicyId	url	collectionTitle	entryTitle
KHS-PILOT-0001	최치원	추야우중	sourceWork	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%B6%94%EC%95%BC%EC%9A%B0%EC%A4%91	위키문헌 개별 작품	秋夜雨中
KHS-PILOT-0001	최치원	추야우중	legacyTranslation	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%B6%94%EC%95%BC%EC%9A%B0%EC%A4%91		
KHS-PILOT-0001	최치원	추야우중	originalText	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%B6%94%EC%95%BC%EC%9A%B0%EC%A4%91		
KHS-PILOT-0002	정지상	송인	sourceWork	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%86%A1%EC%9D%B8	위키문헌 개별 작품	送人-大同江
KHS-PILOT-0002	정지상	송인	legacyTranslation	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%86%A1%EC%9D%B8		
KHS-PILOT-0002	정지상	송인	originalText	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%86%A1%EC%9D%B8		
KHS-PILOT-0003	허난설헌	봄비	sourceWork	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%A1%B0%EC%84%A0%EC%97%AC%EB%A5%98%ED%95%9C%EC%8B%9C%EC%84%A0%EC%A7%91/%EB%B4%84%EB%B9%84	조선여류한시선집	봄비
KHS-PILOT-0003	허난설헌	봄비	legacyTranslation	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%A1%B0%EC%84%A0%EC%97%AC%EB%A5%98%ED%95%9C%EC%8B%9C%EC%84%A0%EC%A7%91/%EB%B4%84%EB%B9%84		
KHS-PILOT-0003	허난설헌	봄비	originalText	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%A1%B0%EC%84%A0%EC%97%AC%EB%A5%98%ED%95%9C%EC%8B%9C%EC%84%A0%EC%A7%91/%EB%B4%84%EB%B9%84		
KHS-PILOT-0004	이규보	강상효우	sourceWork	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EA%B0%95%EC%83%81%ED%9A%A8%EC%9A%B0	동국이상국집	江上曉雨
KHS-PILOT-0004	이규보	강상효우	originalText	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EA%B0%95%EC%83%81%ED%9A%A8%EC%9A%B0		
KHS-PILOT-0005	박인량	주중야음	sourceWork	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%A3%BC%EC%A4%91%EC%95%BC%EC%9D%8C	위키문헌 개별 작품	舟中夜吟
KHS-PILOT-0005	박인량	주중야음	legacyTranslation	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%A3%BC%EC%A4%91%EC%95%BC%EC%9D%8C		
KHS-PILOT-0005	박인량	주중야음	originalText	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%A3%BC%EC%A4%91%EC%95%BC%EC%9D%8C		
